nacionalidad,clase_de_vuelo,frecuencia_de_vuelo,canal_de_venta,satisfaccion_del_cliente,queja
Sudamericana,Ejecutiva,7,Ventanilla,2,Pérdida de equipaje
Sudamericana,Primera clase,10,Sitio web,5,Pérdida de equipaje
Europea,Económica,3,Ventanilla,1,Servicio deficiente
Sudamericana,Primera clase,6,Teléfono,3,Retraso
Mexicana,Ejecutiva,12,Agencia,4,Servicio deficiente
Europea,Ejecutiva,8,Teléfono,4,Otros
Canadiense,Económica,6,Sitio web,1,Otros
Asiática,Económica,4,Sitio web,4,Retraso
Estadounidense,Primera clase,5,Agencia,4,Pérdida de equipaje
Asiática,Económica,2,Ventanilla,2,Pérdida de equipaje
Canadiense,Ejecutiva,9,Ventanilla,3,Pérdida de equipaje
Sudamericana,Ejecutiva,6,Sitio web,4,Servicio deficiente
Asiática,Primera clase,12,Agencia,5,Servicio deficiente
Sudamericana,Económica,5,Teléfono,1,Retraso
Europea,Ejecutiva,3,Sitio web,3,Pérdida de equipaje
Asiática,Económica,12,Ventanilla,5,Servicio deficiente
Sudamericana,Económica,6,Agencia,1,Retraso
Europea,Primera clase,7,Sitio web,5,Servicio deficiente
Europea,Ejecutiva,6,Agencia,1,Servicio deficiente
Canadiense,Económica,6,Ventanilla,2,Pérdida de equipaje
Mexicana,Primera clase,8,Teléfono,2,Pérdida de equipaje
Estadounidense,Económica,7,Ventanilla,5,Pérdida de equipaje
Canadiense,Económica,4,Teléfono,2,Retraso
Mexicana,Económica,2,Teléfono,1,Pérdida de equipaje
Canadiense,Ejecutiva,6,Teléfono,5,Servicio deficiente
Sudamericana,Primera clase,8,Agencia,2,Otros
Estadounidense,Ejecutiva,5,Sitio web,2,Otros
Sudamericana,Económica,8,Agencia,5,Retraso
Canadiense,Económica,7,Agencia,3,Otros
Canadiense,Económica,10,Sitio web,1,Pérdida de equipaje
Asiática,Ejecutiva,4,Ventanilla,5,Servicio deficiente
Europea,Primera clase,2,Agencia,1,Otros
Mexicana,Económica,10,Ventanilla,3,Servicio deficiente
Canadiense,Económica,1,Agencia,3,Pérdida de equipaje
Mexicana,Económica,11,Ventanilla,2,Retraso
Mexicana,Económica,7,Sitio web,5,Otros
Estadounidense,Económica,7,Ventanilla,1,Otros
Sudamericana,Económica,4,Sitio web,1,Retraso
Asiática,Económica,12,Teléfono,4,Otros
Canadiense,Ejecutiva,7,Sitio web,5,Otros
Europea,Ejecutiva,5,Agencia,1,Retraso
Mexicana,Ejecutiva,3,Teléfono,4,Otros
Canadiense,Ejecutiva,2,Teléfono,2,Servicio deficiente
Estadounidense,Ejecutiva,3,Ventanilla,3,Pérdida de equipaje
Asiática,Ejecutiva,2,Agencia,2,Pérdida de equipaje
Estadounidense,Económica,8,Teléfono,2,Pérdida de equipaje
Canadiense,Primera clase,5,Sitio web,3,Retraso
Europea,Primera clase,6,Sitio web,1,Pérdida de equipaje
Sudamericana,Primera clase,2,Teléfono,3,Retraso
Asiática,Ejecutiva,7,Sitio web,3,Retraso
Mexicana,Económica,12,Ventanilla,1,Pérdida de equipaje
Canadiense,Económica,5,Agencia,2,Retraso
Europea,Económica,2,Agencia,5,Otros
Europea,Primera clase,11,Teléfono,2,Otros
Estadounidense,Económica,6,Ventanilla,4,Servicio deficiente
Asiática,Primera clase,2,Agencia,4,Servicio deficiente
Mexicana,Ejecutiva,12,Teléfono,2,Retraso
Estadounidense,Primera clase,1,Teléfono,3,Pérdida de equipaje
Europea,Económica,7,Teléfono,2,Retraso
Canadiense,Económica,2,Teléfono,4,Servicio deficiente
Mexicana,Ejecutiva,1,Agencia,2,Otros
Europea,Ejecutiva,11,Teléfono,2,Retraso
Sudamericana,Ejecutiva,5,Agencia,1,Otros
Mexicana,Económica,2,Ventanilla,1,Retraso
Mexicana,Ejecutiva,5,Agencia,5,Pérdida de equipaje
Mexicana,Primera clase,5,Sitio web,4,Pérdida de equipaje
Mexicana,Ejecutiva,3,Sitio web,4,Servicio deficiente
Asiática,Ejecutiva,2,Sitio web,2,Retraso
Europea,Económica,3,Teléfono,1,Otros
Estadounidense,Económica,10,Teléfono,5,Retraso
Europea,Primera clase,3,Sitio web,1,Otros
Europea,Económica,9,Agencia,5,Servicio deficiente
Canadiense,Económica,7,Ventanilla,2,Pérdida de equipaje
Sudamericana,Ejecutiva,1,Agencia,2,Pérdida de equipaje
Asiática,Primera clase,12,Agencia,4,Servicio deficiente
Mexicana,Económica,9,Teléfono,2,Servicio deficiente
Europea,Primera clase,11,Teléfono,4,Pérdida de equipaje
Canadiense,Económica,6,Sitio web,1,Otros
Estadounidense,Ejecutiva,12,Sitio web,5,Pérdida de equipaje
Sudamericana,Económica,12,Sitio web,2,Servicio deficiente
Estadounidense,Primera clase,3,Teléfono,2,Servicio deficiente
Europea,Primera clase,10,Sitio web,2,Pérdida de equipaje
Mexicana,Económica,1,Ventanilla,2,Retraso
Canadiense,Económica,2,Agencia,4,Retraso
Canadiense,Económica,8,Teléfono,1,Servicio deficiente
Europea,Ejecutiva,11,Teléfono,1,Otros
Estadounidense,Primera clase,5,Teléfono,2,Pérdida de equipaje
Asiática,Ejecutiva,12,Ventanilla,2,Servicio deficiente
Europea,Primera clase,12,Ventanilla,4,Retraso
Mexicana,Ejecutiva,3,Agencia,4,Pérdida de equipaje
Canadiense,Económica,1,Sitio web,5,Retraso
Asiática,Ejecutiva,2,Ventanilla,3,Retraso
Europea,Primera clase,8,Agencia,3,Servicio deficiente
Mexicana,Ejecutiva,9,Teléfono,1,Pérdida de equipaje
Mexicana,Primera clase,6,Agencia,3,Retraso
Europea,Primera clase,5,Sitio web,5,Otros
Canadiense,Ejecutiva,8,Teléfono,5,Retraso
Sudamericana,Económica,1,Sitio web,3,Retraso
Canadiense,Económica,4,Ventanilla,1,Servicio deficiente
Sudamericana,Primera clase,5,Sitio web,1,Servicio deficiente
Mexicana,Ejecutiva,10,Teléfono,3,Pérdida de equipaje
Sudamericana,Económica,5,Agencia,2,Pérdida de equipaje
Canadiense,Primera clase,5,Sitio web,4,Otros
Estadounidense,Económica,3,Ventanilla,1,Pérdida de equipaje
Asiática,Primera clase,7,Agencia,4,Otros
Mexicana,Primera clase,3,Ventanilla,1,Servicio deficiente
Asiática,Primera clase,4,Sitio web,3,Pérdida de equipaje
Estadounidense,Primera clase,10,Agencia,5,Otros
Mexicana,Económica,3,Ventanilla,1,Otros
Asiática,Económica,8,Teléfono,1,Pérdida de equipaje
Europea,Primera clase,8,Sitio web,2,Servicio deficiente
Mexicana,Ejecutiva,12,Sitio web,3,Servicio deficiente
Canadiense,Económica,10,Teléfono,2,Otros
Sudamericana,Ejecutiva,12,Teléfono,3,Servicio deficiente
Mexicana,Económica,8,Ventanilla,2,Otros
