aeropuerto_origen,aeropuerto_destino,distancia_entre_aeropuertos
"{'latitud': 19.4363, 'longitud': -99.0721}","{'latitud': -34.6037, 'longitud': -58.3711}",9871
"{'latitud': -33.9461, 'longitud': 151.1771}","{'latitud': 25.7854, 'longitud': -100.1077}",6695
"{'latitud': -34.6037, 'longitud': -58.3711}","{'latitud': 16.7658, 'longitud': -99.7639}",2489
"{'latitud': 51.47, 'longitud': -0.4543}","{'latitud': 52.3105, 'longitud': 4.7683}",3583
"{'latitud': 51.47, 'longitud': -0.4543}","{'latitud': 21.0365, 'longitud': -86.8769}",8147
"{'latitud': 19.4363, 'longitud': -99.0721}","{'latitud': 22.1536, 'longitud': -100.9267}",7185
"{'latitud': 20.5225, 'longitud': -103.3097}","{'latitud': 19.4363, 'longitud': -99.0721}",3517
"{'latitud': 25.7854, 'longitud': -100.1077}","{'latitud': -34.6037, 'longitud': -58.3711}",8271
"{'latitud': -33.9461, 'longitud': 151.1771}","{'latitud': 22.1536, 'longitud': -100.9267}",7539
"{'latitud': 40.6397, 'longitud': -73.7789}","{'latitud': 50.0333, 'longitud': 8.5705}",9711
"{'latitud': 40.6397, 'longitud': -73.7789}","{'latitud': 50.0333, 'longitud': 8.5705}",5814
"{'latitud': 50.0333, 'longitud': 8.5705}","{'latitud': -34.6037, 'longitud': -58.3711}",873
"{'latitud': 19.1433, 'longitud': -96.1733}","{'latitud': 20.5225, 'longitud': -103.3097}",1128
"{'latitud': 21.7025, 'longitud': -102.8639}","{'latitud': 50.0333, 'longitud': 8.5705}",7128
"{'latitud': 22.308, 'longitud': 113.9154}","{'latitud': 22.1536, 'longitud': -100.9267}",9993
"{'latitud': 21.0365, 'longitud': -86.8769}","{'latitud': 33.9425, 'longitud': -118.407}",6207
"{'latitud': 20.5225, 'longitud': -103.3097}","{'latitud': 51.47, 'longitud': -0.4543}",7993
"{'latitud': 20.9942, 'longitud': -101.4797}","{'latitud': 25.7854, 'longitud': -100.1077}",8095
"{'latitud': 50.0333, 'longitud': 8.5705}","{'latitud': 22.308, 'longitud': 113.9154}",6575
"{'latitud': 16.7658, 'longitud': -99.7639}","{'latitud': -33.9461, 'longitud': 151.1771}",9060
"{'latitud': 19.4363, 'longitud': -99.0721}","{'latitud': -34.6037, 'longitud': -58.3711}",5313
"{'latitud': -34.6037, 'longitud': -58.3711}","{'latitud': 51.47, 'longitud': -0.4543}",6013
"{'latitud': 22.308, 'longitud': 113.9154}","{'latitud': 40.6397, 'longitud': -73.7789}",5141
"{'latitud': 22.1536, 'longitud': -100.9267}","{'latitud': 50.0333, 'longitud': 8.5705}",1132
"{'latitud': 35.7647, 'longitud': 140.3864}","{'latitud': -34.6037, 'longitud': -58.3711}",9739
